outcome,area,country,region,source_country_name,model_source,source_model_file
maternal_deaths,87,Japan,Western Pacific Region,Japan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-87-01-01-2019.csv
maternal_deaths,88,Jordan,Eastern Mediterranean,Jordan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-88-01-01-2019.csv
maternal_deaths,89,Kazakhstan,European Region,Kazakhstan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-89-01-01-2019.csv
maternal_deaths,90,Kenya,African Region,Kenya,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-90-01-01-2019.csv
maternal_deaths,91,Kiribati,Western Pacific Region,Kiribati,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-maternal-deaths-world-area-91-01-01-2019.csv
maternal_deaths,92,Kuwait,Eastern Mediterranean,Kuwait,ranked_top1_fallback,ranked(1)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-yearly-maternal-deaths-world-area-92-01-01-2019.csv
maternal_deaths,93,Kyrgyzstan,European Region,Kyrgyzstan,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-93-01-01-2019.csv
maternal_deaths,94,Laos,Western Pacific Region,Lao People's Democratic Republic,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-94-01-01-2019.csv
maternal_deaths,95,Latvia,European Region,Latvia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-95-01-01-2019.csv
maternal_deaths,96,Lebanon,Eastern Mediterranean,Lebanon,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-96-01-01-2019.csv
maternal_deaths,97,Lesotho,African Region,Lesotho,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-97-01-01-2019.csv
maternal_deaths,98,Liberia,African Region,Liberia,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-98-01-01-2019.csv
maternal_deaths,99,Libya,Eastern Mediterranean,Libya,ensemble_top4,Ensemble(4)-onsetfixed-0-flag1-1-method-0-dist-0-horizon-4-weighttype-0-yearly-maternal-deaths-world-area-99-01-01-2019.csv
